"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"PBMI","244900091",118.0,18.0,6.099999904632568,"GeneralCargo",9186388,"Hamburg","2017-03-21T00:02:05.0"
"PBRD","244010945",125.0,18.0,5.400000095367432,"GeneralCargo",9770701,"Nordsee","2017-03-23T19:52:55.0"
"PBYI","244847000",89.0,12.0,4.699999809265137,"GeneralCargo",9411771,"Nordsee","2017-03-18T17:23:31.0"
"PCHY","246169000",88.0,13.0,3.5,"GeneralCargo",9195652,"Hamburg","2017-03-18T14:28:27.0"
"PHHT","246191000",137.0,22.0,5.5,"GeneralCargo",9287716,"Hamburg","2017-03-22T00:03:12.0"
"SVBO8","241209000",229.0,32.0,12.199999809265137,"GeneralCargo",9597202,"Hamburg","2017-03-18T00:02:31.0"
"TCYR3","271042019",290.0,45.0,14.699999809265137,"GeneralCargo",9461271,"Hamburg","2017-03-22T00:06:51.0"
"V2BN2","304771000",148.0,23.0,7.5,"GeneralCargo",9319571,"Nordsee","2017-03-18T09:36:27.0"
"V2BQ6","304586000",118.0,18.0,6.699999809265137,"GeneralCargo",9184225,"Hamburg","2017-03-18T13:58:51.0"
"V2BQ6","304586000",118.0,18.0,7.699999809265137,"GeneralCargo",9184225,"Nordsee","2017-03-20T08:58:51.0"
"V2CQ7","304936000",89.0,10.0,3.5999999046325684,"GeneralCargo",9353395,"Hamburg","2017-03-19T00:06:32.0"
"V2FJ2","305690000",130.0,17.0,6.699999809265137,"GeneralCargo",9513658,"Nordsee","2017-03-23T02:36:59.0"
"V2FV8","305816000",159.0,24.0,9.199999809265137,"GeneralCargo",9376505,"Nordsee","2017-03-20T22:27:46.0"
"V2FX5","305836000",128.0,16.0,5.0,"GeneralCargo",9501681,"Hamburg","2017-03-20T00:10:12.0"
"V2FX5","305836000",129.0,16.0,7.5,"GeneralCargo",9501681,"Nordsee","2017-03-22T19:51:12.0"
"V2GW7","305808000",112.0,15.0,4.0,"GeneralCargo",9180865,"Hamburg","2017-03-17T00:05:36.0"
"V2GW7","305808000",112.0,15.0,4.099999904632568,"GeneralCargo",9180865,"Hamburg","2017-03-17T03:03:26.0"
"V2HS6","305741000",150.0,23.0,7.900000095367432,"GeneralCargo",9492505,"Hamburg","2017-03-19T00:06:38.0"
"V2HS6","305741000",150.0,23.0,8.0,"GeneralCargo",9492505,"Hamburg","2017-03-19T16:24:27.0"
"V2HS6","305741000",150.0,23.0,8.100000381469727,"GeneralCargo",9492505,"Hamburg","2017-03-19T04:45:55.0"
"V2KA8","304050636",115.0,16.0,5.400000095367432,"Tanker",9130468,"Nordsee","2017-03-22T12:26:03.0"
"V2OS1","304669000",87.0,13.0,5.099999904632568,"GeneralCargo",8817409,"Nordsee","2017-03-23T18:58:53.0"
